Year,UNIT_MEASURE,Spol,Godine,Value
1971,Broj,Muškarci,0-4,-207129
1971,Broj,Muškarci,5-9,-225726
1971,Broj,Muškarci,10-14,-225066
1971,Broj,Muškarci,15-19,-209215
1971,Broj,Muškarci,20-24,-162073
1971,Broj,Muškarci,25-29,-109724
1971,Broj,Muškarci,30-34,-140952
1971,Broj,Muškarci,35-39,-139035
1971,Broj,Muškarci,40-44,-118781
1971,Broj,Muškarci,45-49,-70017
1971,Broj,Muškarci,50-54,-41069
1971,Broj,Muškarci,55-59,-48828
1971,Broj,Muškarci,60-64,-53087
1971,Broj,Muškarci,65-69,-37590
1971,Broj,Muškarci,70-74,-23136
1971,Broj,Muškarci,75-79,-9502
1971,Broj,Muškarci,80-84,-4300
1971,Broj,Muškarci,85-89,-1636
1971,Broj,Muškarci,90-94,-555
1971,Broj,Muškarci,95-99,-158
1971,Broj,Muškarci,100-104,-15
1971,Broj,Muškarci,105-109,0
1971,Broj,Muškarci,110-114,0
1971,Broj,Muškarci,115-120,0
1981,Broj,Muškarci,0-4,-178030
1981,Broj,Muškarci,5-9,-185725
1981,Broj,Muškarci,10-14,-198722
1981,Broj,Muškarci,15-19,-220775
1981,Broj,Muškarci,20-24,-205585
1981,Broj,Muškarci,25-29,-170406
1981,Broj,Muškarci,30-34,-125706
1981,Broj,Muškarci,35-39,-91391
1981,Broj,Muškarci,40-44,-123183
1981,Broj,Muškarci,45-49,-123327
1981,Broj,Muškarci,50-54,-107239
1981,Broj,Muškarci,55-59,-62482
1981,Broj,Muškarci,60-64,-35034
1981,Broj,Muškarci,65-69,-37830
1981,Broj,Muškarci,70-74,-34700
1981,Broj,Muškarci,75-79,-19399
1981,Broj,Muškarci,80-84,-9446
1981,Broj,Muškarci,85-89,-2435
1981,Broj,Muškarci,90-94,-810
1981,Broj,Muškarci,95-99,-320
1981,Broj,Muškarci,100-104,-25
1981,Broj,Muškarci,105-109,0
1981,Broj,Muškarci,110-114,0
1981,Broj,Muškarci,115-120,0
1991,Broj,Muškarci,0-4,-165380
1991,Broj,Muškarci,5-9,-172585
1991,Broj,Muškarci,10-14,-171325
1991,Broj,Muškarci,15-19,-176899
1991,Broj,Muškarci,20-24,-176964
1991,Broj,Muškarci,25-29,-180750
1991,Broj,Muškarci,30-34,-174952
1991,Broj,Muškarci,35-39,-158175
1991,Broj,Muškarci,40-44,-120184
1991,Broj,Muškarci,45-49,-86297
1991,Broj,Muškarci,50-54,-114074
1991,Broj,Muškarci,55-59,-110798
1991,Broj,Muškarci,60-64,-91391
1991,Broj,Muškarci,65-69,-47796
1991,Broj,Muškarci,70-74,-22785
1991,Broj,Muškarci,75-79,-19076
1991,Broj,Muškarci,80-84,-12614
1991,Broj,Muškarci,85-89,-4367
1991,Broj,Muškarci,90-94,-927
1991,Broj,Muškarci,95-99,-106
1991,Broj,Muškarci,100-104,-14
1991,Broj,Muškarci,105-109,-7
1991,Broj,Muškarci,110-114,-4
1991,Broj,Muškarci,115-120,-2
2013,Broj,Muškarci,0-4,-89442
2013,Broj,Muškarci,5-9,-90881
2013,Broj,Muškarci,10-14,-98653
2013,Broj,Muškarci,15-19,-124900
2013,Broj,Muškarci,20-24,-116883
2013,Broj,Muškarci,25-29,-129248
2013,Broj,Muškarci,30-34,-128593
2013,Broj,Muškarci,35-39,-126145
2013,Broj,Muškarci,40-44,-121595
2013,Broj,Muškarci,45-49,-130087
2013,Broj,Muškarci,50-54,-136153
2013,Broj,Muškarci,55-59,-125576
2013,Broj,Muškarci,60-64,-104970
2013,Broj,Muškarci,65-69,-69066
2013,Broj,Muškarci,70-74,-59854
2013,Broj,Muškarci,75-79,-47403
2013,Broj,Muškarci,80-84,-23769
2013,Broj,Muškarci,85-89,-7555
2013,Broj,Muškarci,90-94,-1311
2013,Broj,Muškarci,95-99,-108
2013,Broj,Muškarci,100-104,-29
2013,Broj,Muškarci,105-109,-17
2013,Broj,Muškarci,110-114,-32
2013,Broj,Muškarci,115-120,0
1971,Broj,Žene,0-4,198376
1971,Broj,Žene,5-9,216939
1971,Broj,Žene,10-14,217133
1971,Broj,Žene,15-19,202172
1971,Broj,Žene,20-24,157244
1971,Broj,Žene,25-29,116003
1971,Broj,Žene,30-34,148858
1971,Broj,Žene,35-39,141447
1971,Broj,Žene,40-44,124235
1971,Broj,Žene,45-49,96224
1971,Broj,Žene,50-54,60771
1971,Broj,Žene,55-59,65801
1971,Broj,Žene,60-64,59640
1971,Broj,Žene,65-69,42218
1971,Broj,Žene,70-74,30413
1971,Broj,Žene,75-79,13548
1971,Broj,Žene,80-84,7852
1971,Broj,Žene,85-89,3476
1971,Broj,Žene,90-94,1383
1971,Broj,Žene,95-99,514
1971,Broj,Žene,100-104,47
1971,Broj,Žene,105-109,0
1971,Broj,Žene,110-114,0
1971,Broj,Žene,115-120,0
1981,Broj,Žene,0-4,170690
1981,Broj,Žene,5-9,177130
1981,Broj,Žene,10-14,189147
1981,Broj,Žene,15-19,207896
1981,Broj,Žene,20-24,186691
1981,Broj,Žene,25-29,159698
1981,Broj,Žene,30-34,133472
1981,Broj,Žene,35-39,104397
1981,Broj,Žene,40-44,137357
1981,Broj,Žene,45-49,131616
1981,Broj,Žene,50-54,116935
1981,Broj,Žene,55-59,90094
1981,Broj,Žene,60-64,54623
1981,Broj,Žene,65-69,54267
1981,Broj,Žene,70-74,42792
1981,Broj,Žene,75-79,25147
1981,Broj,Žene,80-84,14123
1981,Broj,Žene,85-89,4446
1981,Broj,Žene,90-94,1798
1981,Broj,Žene,95-99,680
1981,Broj,Žene,100-104,81
1981,Broj,Žene,105-109,0
1981,Broj,Žene,110-114,0
1981,Broj,Žene,115-120,0
1991,Broj,Žene,0-4,157108
1991,Broj,Žene,5-9,164525
1991,Broj,Žene,10-14,163412
1991,Broj,Žene,15-19,165630
1991,Broj,Žene,20-24,162094
1991,Broj,Žene,25-29,170619
1991,Broj,Žene,30-34,168310
1991,Broj,Žene,35-39,152733
1991,Broj,Žene,40-44,128815
1991,Broj,Žene,45-49,98024
1991,Broj,Žene,50-54,128709
1991,Broj,Žene,55-59,122250
1991,Broj,Žene,60-64,105128
1991,Broj,Žene,65-69,76378
1991,Broj,Žene,70-74,39914
1991,Broj,Žene,75-79,31593
1991,Broj,Žene,80-84,18145
1991,Broj,Žene,85-89,7157
1991,Broj,Žene,90-94,1959
1991,Broj,Žene,95-99,329
1991,Broj,Žene,100-104,85
1991,Broj,Žene,105-109,12
1991,Broj,Žene,110-114,9
1991,Broj,Žene,115-120,2
2013,Broj,Žene,0-4,84622
2013,Broj,Žene,5-9,86099
2013,Broj,Žene,10-14,94022
2013,Broj,Žene,15-19,117842
2013,Broj,Žene,20-24,111173
2013,Broj,Žene,25-29,123070
2013,Broj,Žene,30-34,124040
2013,Broj,Žene,35-39,123121
2013,Broj,Žene,40-44,119543
2013,Broj,Žene,45-49,130841
2013,Broj,Žene,50-54,140422
2013,Broj,Žene,55-59,132961
2013,Broj,Žene,60-64,118281
2013,Broj,Žene,65-69,84503
2013,Broj,Žene,70-74,80601
2013,Broj,Žene,75-79,69864
2013,Broj,Žene,80-84,38867
2013,Broj,Žene,85-89,14967
2013,Broj,Žene,90-94,3551
2013,Broj,Žene,95-99,376
2013,Broj,Žene,100-104,79
2013,Broj,Žene,105-109,17
2013,Broj,Žene,110-114,27
2013,Broj,Žene,115-120,0
