Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,_T,1,Banja Luka,185042
2013,NUMBER,_T,2,Banja Luka,9610
2013,NUMBER,F,1,Banja Luka,95894
2013,NUMBER,F,2,Banja Luka,4712
2013,NUMBER,M,1,Banja Luka,89148
2013,NUMBER,M,2,Banja Luka,4898
2013,NUMBER,_T,1,Bijeljina,107715
2013,NUMBER,_T,2,Bijeljina,5080
2013,NUMBER,F,1,Bijeljina,54888
2013,NUMBER,F,2,Bijeljina,2443
2013,NUMBER,M,1,Bijeljina,52827
2013,NUMBER,M,2,Bijeljina,2637
2013,NUMBER,_T,1,Bosanska Krupa,25545
2013,NUMBER,_T,2,Bosanska Krupa,1423
2013,NUMBER,F,1,Bosanska Krupa,12997
2013,NUMBER,F,2,Bosanska Krupa,688
2013,NUMBER,M,1,Bosanska Krupa,12548
2013,NUMBER,M,2,Bosanska Krupa,735